Date,returns,vol,regime,price
2015-01-02,,,,2058.199951171875
2015-01-05,-0.018278105145113743,,,2020.5799560546875
2015-01-06,-0.008893471722946522,,,2002.6099853515625
2015-01-07,0.01162984267174294,,,2025.9000244140625
2015-01-08,0.017888280629516196,,,2062.139892578125
2015-01-09,-0.008403811034715436,,,2044.81005859375
2015-01-12,-0.008093685160912578,,,2028.260009765625
2015-01-13,-0.0025785552362955766,,,2023.030029296875
2015-01-14,-0.005813067327385291,,,2011.27001953125
2015-01-15,-0.009247875921837956,,,1992.6700439453125
2015-01-16,0.013424199395820402,,,2019.4200439453125
2015-01-20,0.0015499523698385698,,,2022.550048828125
2015-01-21,0.004731623968765364,,,2032.1199951171875
2015-01-22,0.015269721916580492,,,2063.14990234375
2015-01-23,-0.005491522439307173,,,2051.820068359375
2015-01-26,0.002568460857030219,,,2057.090087890625
2015-01-27,-0.013387862410411011,,,2029.550048828125
2015-01-28,-0.013495609366348305,,,2002.1600341796875
2015-01-29,0.009534685287099887,,,2021.25
2015-01-30,-0.012991965252009852,,,1994.989990234375
2015-02-02,0.01296246371066978,,,2020.8499755859375
2015-02-03,0.014439495293299576,0.18109089489880328,Elevated,2050.030029296875
2015-02-04,-0.0041560462088314765,0.16949256133061566,Normal,2041.510009765625
2015-02-05,0.010291406686777416,0.16906011864905388,Normal,2062.52001953125
2015-02-06,-0.0034181723141418763,0.16565503804120732,Normal,2055.469970703125
2015-02-09,-0.004247194360987749,0.1541327704289662,Normal,2046.739990234375
2015-02-10,0.010675561019232394,0.1556748762307532,Normal,2068.590087890625
2015-02-11,-2.903358867545336e-05,0.15247634406370136,Normal,2068.530029296875
2015-02-12,0.009644506431775834,0.1547436835556772,Normal,2088.47998046875
2015-02-13,0.004074738491730789,0.15258121576959294,Normal,2096.989990234375
2015-02-17,0.0015975744623728527,0.1470009460349976,Normal,2100.340087890625
2015-02-18,-0.0003143092177338991,0.14180771040748472,Normal,2099.679931640625
2015-02-19,-0.0010620573331896477,0.14217613038773866,Normal,2097.449951171875
2015-02-20,0.006126533626735764,0.14262350161661483,Normal,2110.300048828125
2015-02-23,-0.0003033391953459752,0.13409109567889677,Normal,2109.659912109375
2015-02-24,0.002758770892866691,0.13201368300320468,Normal,2115.47998046875
2015-02-25,-0.0007657236475081541,0.1321753172855633,Normal,2113.860107421875
2015-02-26,-0.001476028227480719,0.12147004173083302,Calm,2110.739990234375
2015-02-27,-0.0029563045487578377,0.10954289927542439,Calm,2104.5
2015-03-02,0.006124919257840311,0.10735944321953109,Calm,2117.389892578125
2015-03-03,-0.0045385421527393,0.0956002984512203,Calm,2107.780029296875
2015-03-04,-0.00438850348301556,0.09076577641072421,Calm,2098.530029296875
2015-03-05,0.0011960799848387271,0.0782896839219037,Calm,2101.0400390625
2015-03-06,-0.014173946589881803,0.09317362524631029,Calm,2071.260009765625
2015-03-09,0.0039444211911976446,0.08735867151580866,Calm,2079.429931640625
2015-03-10,-0.01696133008584244,0.10553091753340162,Calm,2044.1600341796875
2015-03-11,-0.0019176795748703235,0.10472224990981722,Calm,2040.239990234375
2015-03-12,0.012601439566208406,0.10740440568910113,Calm,2065.949951171875
2015-03-13,-0.006074710968194674,0.1094202867562725,Calm,2053.39990234375
2015-03-16,0.013533671171787054,0.11459304932285382,Calm,2081.18994140625
2015-03-17,-0.003320173700583018,0.11402655396754915,Calm,2074.280029296875
2015-03-18,0.012158421402569175,0.12205330896277472,Calm,2099.5
2015-03-19,-0.004872579408787825,0.12322133109715531,Calm,2089.27001953125
2015-03-20,0.00901275466979845,0.12721898337758925,Calm,2108.10009765625
2015-03-23,-0.0017457310425351702,0.1255662189145004,Calm,2104.419921875
2015-03-24,-0.006139421956948832,0.12729905582417791,Calm,2091.5
2015-03-25,-0.014558905652342857,0.13577067511384847,Normal,2061.050048828125
2015-03-26,-0.002377499996742527,0.13581967167282843,Normal,2056.14990234375
2015-03-27,0.0023685613495147972,0.13640231219152676,Normal,2061.02001953125
2015-03-30,0.012236645187396533,0.1437515842403628,Normal,2086.239990234375
2015-03-31,-0.008795775050879251,0.14453981340893374,Normal,2067.889892578125
2015-04-01,-0.003965371271123064,0.14438087284730639,Normal,2059.68994140625
2015-04-02,0.0035296669586522,0.14468534629201513,Normal,2066.9599609375
