Date,returns,vol,regime,price,mom_5,mom_21,drawdown
2015-01-02,,,,2058.199951171875,,,
2015-01-05,-0.0182781051451137,,,2020.5799560546875,,,
2015-01-06,-0.0088934717229465,,,2002.6099853515625,,,
2015-01-07,0.0116298426717429,,,2025.9000244140625,,,
2015-01-08,0.0178882806295161,,,2062.139892578125,,,
2015-01-09,-0.0084038110347154,,,2044.81005859375,-0.0012114529203033203,,
2015-01-12,-0.0080936851609125,,,2028.260009765625,0.00082543107653692,,
2015-01-13,-0.0025785552362955,,,2023.030029296875,0.00208841437386712,,
2015-01-14,-0.0058130673273852,,,2011.27001953125,-0.0014001676259585004,,
2015-01-15,-0.0092478759218379,,,1992.6700439453125,-0.006827398936229301,,
2015-01-16,0.0134241993958204,,,2019.4200439453125,-0.00246179685012214,,
2015-01-20,0.0015499523698385,,,2022.550048828125,-0.0005330693439719402,,
2015-01-21,0.0047316239687653,,,2032.1199951171875,0.0009289664970402198,,
2015-01-22,0.0152697219165804,,,2063.14990234375,0.00514552434583334,,
2015-01-23,-0.0054915224393071,,,2051.820068359375,0.005896795042339501,,
2015-01-26,0.0025684608570302,,,2057.090087890625,0.0037256473345814597,,
2015-01-27,-0.013387862410411,,,2029.550048828125,0.0007380843785315602,,
2015-01-28,-0.0134956093663483,,,2002.1600341796875,-0.00290736228849116,,
2015-01-29,0.0095346852870998,,,2021.25,-0.00405436961438728,,
2015-01-30,-0.0129919652520098,,,1994.989990234375,-0.00555445817692782,,
2015-02-02,0.0129624637106697,,,2020.8499755859373,-0.00347565760619992,,
2015-02-03,0.0144394952932995,0.1810908948988032,Elevated,2050.030029296875,0.00208981393454218,-0.00012746690080571915,
2015-02-04,-0.0041560462088314,0.1694925613306156,Normal,2041.510009765625,0.00395772656604556,0.0005450120961601047,
2015-02-05,0.0102914066867774,0.1690601186490538,Normal,2062.52001953125,0.004109070845981081,0.0014585777347183855,
2015-02-06,-0.0034181723141418,0.1656550380412073,Normal,2055.469970703125,0.00602382943355468,0.0007420055925334001,
2015-02-09,-0.0042471943609877,0.1541327704289662,Normal,2046.739990234375,0.0025818978192232002,-0.000312064645109638,
2015-02-10,0.0106755610192323,0.1556748762307532,Normal,2068.590087890625,0.00182911096440976,0.0005964768812688238,
2015-02-11,-2.903358867545336e-05,0.1524763440637013,Normal,2068.530029296875,0.0026545134884409494,0.0009805079085182069,
2015-02-12,0.0096445064317758,0.1547436835556772,Normal,2088.47998046875,0.0025251334374406294,0.0015625584641406499,
2015-02-13,0.0040747384917307,0.1525812157695929,Normal,2096.989990234375,0.0040237155986151294,0.002033406360289026,
2015-02-17,0.0015975744623728,0.1470009460349976,Normal,2100.340087890625,0.005192669363287229,0.002549856378584774,
2015-02-18,-0.0003143092177338,0.1418077104074847,Normal,2099.679931640625,0.002994695315894009,0.0018956416827012404,
2015-02-19,-0.0010620573331896,0.1421761303877386,Normal,2097.449951171875,0.00278809056699118,0.0017712602682713311,
2015-02-20,0.0061265336267357,0.1426235016166148,Normal,2110.300048828125,0.00208449600598316,0.001837684537698493,
2015-02-23,-0.0003033391953459,0.1340910956788967,Normal,2109.659912109375,0.0012088804685678402,0.0010961101990353357,
2015-02-24,0.0027587708928666,0.1320136830032046,Normal,2115.47998046875,0.0014411197546666,0.0014889813100912262,
2015-02-25,-0.0007657236475081,0.1321753172855633,Normal,2113.860107421875,0.0013508368687117401,0.001330210619398926,
2015-02-26,-0.0014760282274807,0.121470041730833,Calm,2110.739990234375,0.0012680426898535198,0.0018974408185860835,
2015-02-27,-0.0029563045487578,0.1095428992754243,Calm,2104.5,-0.00054852494524518,0.0023993124765665833,
2015-03-02,0.0061249192578403,0.107359443219531,Calm,2117.389892578125,0.00073712674539206,0.002236942665649464,
2015-03-03,-0.0045385421527393,0.0956002984512203,Calm,2107.780029296875,-0.00072233586372912,0.0026394866227575833,
2015-03-04,-0.0043885034830155,0.0907657764107242,Calm,2098.530029296875,-0.0014468918308306,0.0018132500897249547,
2015-03-05,0.0011960799848387,0.0782896839219037,Calm,2101.0400390625,-0.0009124701883667201,0.0011826112655125354,
2015-03-06,-0.0141739465898818,0.0931736252463102,Calm,2071.260009765625,-0.0031559985965915202,0.0007055683902244213,
2015-03-09,0.0039444211911976,0.0873586715158086,Calm,2079.429931640625,-0.0035920982099200602,0.00040333098567300223,
2015-03-10,-0.0169613300858424,0.1055309175334016,Calm,2044.1600341796875,-0.00607665579654068,-0.00024158128916988345,
2015-03-11,-0.0019176795748703,0.1047222499098172,Calm,2040.239990234375,-0.00558249101491164,-0.00013065201364048345,
2015-03-12,0.0126014395662084,0.1074044056891011,Calm,2065.949951171875,-0.0033014190986377,-3.894351140352629e-05,
2015-03-13,-0.0060747109681946,0.1094202867562725,Calm,2053.39990234375,-0.00168157197430026,-0.00032683291042824754,
2015-03-16,0.013533671171787,0.1145930493228538,Calm,2081.18994140625,0.00023627802181761976,-0.00014163458947533315,
2015-03-17,-0.003320173700583,0.1140265539675491,Calm,2074.280029296875,0.002964509298869499,-0.0004937732652997951,
2015-03-18,0.0121584214025691,0.1220533089627747,Calm,2099.5,0.005779729494357379,9.124208042885815e-06,
2015-03-19,-0.0048725794087878,0.1232213310971553,Calm,2089.27001953125,0.0022849256993581397,-0.00020793627724539982,
2015-03-20,0.0090127546697984,0.1272189833775892,Calm,2108.10009765625,0.005302418826956739,0.0002718166752778382,
2015-03-23,-0.0017457310425351,0.1255662189145004,Calm,2104.419921875,0.002246538384092319,-0.00010305307087791418,
2015-03-24,-0.0061394219569488,0.1272990558241779,Calm,2091.5,0.0016826887328191594,-0.0003809617738113856,
2015-03-25,-0.0145589056523428,0.1357706751138484,Normal,2061.050048828125,-0.00366077667816322,-0.001205613037868976,
2015-03-26,-0.0023774999967425,0.1358196716728284,Normal,2056.14990234375,-0.003161760795754161,-0.0012823642925944238,
2015-03-27,0.0023685613495147,0.1364023121915267,Normal,2061.02001953125,-0.004490599459810901,-0.0010992885984517857,
2015-03-30,0.0122366451873965,0.1437515842403628,Normal,2086.239990234375,-0.0016941242138245806,-0.000375814801492057,
2015-03-31,-0.0087957750508792,0.1445398134089337,Normal,2067.889892578125,-0.002225394832610661,-0.0010863240542882237,
2015-04-01,-0.003965371271123,0.1443808728473063,Normal,2059.68994140625,-0.00010668795636670087,-0.0010590302027826857,
2015-04-02,0.0035296669586522,0.1446853462920151,Normal,2066.9599609375,0.001074745434712239,-0.000681974467465176,
2015-04-06,0.0066088151237357,0.1467705359303446,Normal,2080.6201171875,0.0019227961895564392,-0.0004242251751367475,
